id	source	target
1	A1	B203
2	A1	C602
3	A2	B515
4	A2	C1446
5	A3	B397
6	A3	C168
7	A3	C490
8	A3	C491
9	A4	B377
10	A4	C1457
11	A5	B536
12	A5	C952
13	A6	B433
14	A6	C1003
15	A7	B643
16	A7	C215
17	A8	B272
18	A8	C601
19	A9	B158
20	A9	C133
21	A9	C135
22	A9	B234
23	A9	C1399
24	A9	B701
25	A9	C1387
26	A10	B650
27	A10	C72
28	A11	B275
29	A11	C1154
30	A12	B248
31	A12	C1079
32	A12	C1080
33	A12	C1081
34	A12	C1082
35	A12a	B288
36	A12a	C1458
37	A13	B781
38	A13	C1329
39	A14	B99
40	A14	C755
41	A15	B125
42	A15	C1149
43	A16	B452
44	A16	C1143
45	A16	C1225
46	A17	B663
47	A17	C122
48	A18	B275
49	A18	C1155
50	A19	B281
51	A19	C151
52	A19	C158
53	A19	C159
54	A19	C261
55	A20	B140
56	A20	C73
57	A21	B108
58	A21	C1050
59	A22	B146
60	A22	C823
61	A23	B676
62	A23	C477
63	A24	B183
64	A24	C562
65	A25	B783
66	A25	C1097
67	A26	B35
68	A26	C641
69	A27	B416
70	A27	C403
71	A27	C761
72	A28	B510
73	A28	C1127
74	A29	B31
75	A29	C660
76	A30	B10
77	A30	C639
78	A31	B362
79	A31	C633
80	A32	B148
81	A32	C980
82	A32	B308
83	A32	C927
84	A33	B235
85	A33	C1150
86	A34	B549
87	A34	C1278
88	A35	B699
89	A35	C1209
90	A36	B485
91	A36	C203a
92	A36	C220
93	A36	C221
94	A36	C229
95	A37	B802
96	A37	C1192
97	A38	B701
98	A38	C1419
99	A39	B308
100	A39	C906
101	A40	B9
102	A40	C349
103	A41	B737
104	A41	C562
105	A42	B419
106	A42	C78
107	A43	B625
108	A43	C126
109	A43	C128
110	A43	C242
111	A43	C344
112	A43	B705
113	A43	C94
114	A43	C124
115	A43	C378
116	A44	B323
117	A44	C71
118	A45	B179
119	A45	C934
120	A46	B357
121	A46	C933
122	A47	B592
123	A47	C1291
124	A48	B475
125	A48	C847
126	A48	C850
127	A48	C855
128	A49	B158
129	A49	C133135
130	A50	B475
131	A50	C848
132	A50	C864
133	A50	C870
134	A51	B319
135	A51	C562
136	A52	B48
137	A52	B588
138	A52	C1283
139	A53	B473
140	A53	C162
141	A54	B743
142	A54	C1048
143	A55	B784
144	A55	C1120
145	A56	B545
146	A56	C905
147	A57	B148
148	A57	C736
149	A58	B76
150	A58	C1044
151	A58	C1430a
152	A59	B807
153	A59	C930
154	A60	B783
155	A60	C1257a
156	A61	B211
157	A61	C1115
158	A62	B226
159	A62	C569
160	A63	B226
161	A63	C784
162	A64	B426
163	A64	C1084
164	A64a	B112
165	A64a	C1095
166	A65	B106
167	A65	C65
168	A65	C68
169	A65a	B377
170	A65a	C1458
171	A66	B164
172	A66	C396
173	A66	B745
174	A66	C331
175	A67	B354
176	A67	C30
177	A68	B426
178	A68	C1090
179	A68	C1093
180	A69	B309
181	A69	C44
182	A70	B26
183	A70	C472
184	A70	B345
185	A70	C790
186	A70	B578
187	A70	C352
188	A70	C426
189	A70	C473
190	A71	B267
191	A71	C7
192	A72	B582
193	A72	C144
194	A73	B473
195	A73	C760
196	A74	B550
197	A74	C256
198	A76	B389
199	A76	C625
200	A77	B371
201	A77	C1463
202	A78	B196
203	A78	C1446
204	A79	B205
205	A79	C219
206	A79	B646
207	A79	C193
208	A79	C194195
209	A80	B741
210	A80	C627
211	A81	B238
212	A81	C813
213	A82	B476
214	A82	C818
215	A83	B780
216	A83	C1464
217	A84	B35
218	A84	C640
219	A84	B147
220	A84	C562
221	A85	B35
222	A85	C639
223	A86	B226
224	A86	C600
225	A87	B841
226	A87	C1147
227	A88	B473
228	A88	C64
229	A89	B815
230	A89	C506
231	A90	B541
232	A90	C905
233	A90	C946
234	A91	B396
235	A91	C450
236	A92	B565
237	A92	C1360
238	A93	B605
239	A93	C1074
240	A94	B328
241	A94	C194
242	A95	B726
243	A95	C178
244	A96	B759
245	A96	C12
246	A97	B689
247	A97	C418
248	A98	B155
249	A98	C563
250	A99	B161
251	A99	B288
252	A99	B361
253	A99	C1457
254	A100	B246
255	A100	C627
256	A100	B741
257	A100	C627
258	A101	B78
259	A101	C1247
260	A102	B674
261	A102	C1108
262	A103	B719
263	A103	C562
264	A104	B740
265	A104	C952
266	A104	C1356
267	A105	B451
268	A105	C1210
269	A106	B117
270	A106	C873
271	A106	C875
272	A106	C876
273	A107	B806
274	A107	C258
275	A108	B387
276	A108	C956
277	A108	C972
278	A109	B393
279	A109	C639
280	A110	B250
281	A110	C562
282	A111	B241
283	A111	C465
284	A112	B747
285	A112	C495
286	A112	C660
287	A113	B15
288	A113	C654
289	A114	B215
290	A114	C574
291	A114	C580
292	A115	B559
293	A115	C1276
294	A116	B496
295	A116	C887
296	A116	C893
297	A117	B383
298	A117	C351
299	A117	C369
300	A117	B614
301	A117	C343
302	A117	C351
303	A117	C369
304	A117	C373
305	A117	C374
306	A118	B416
307	A118	C403
308	A118	C761
309	A119	B645
310	A119	C1279
311	A120	B160
312	A120	C808
313	A120	B226
314	A120	C780
315	A120	C781
316	A120	B508
317	A120	C1408
318	A121	B495
319	A121	C1359
320	A122	B797
321	A122	C872
322	A123	B475
323	A123	C778
324	A123	C807
325	A124	B843
326	A124	C682
327	A124	C694
328	A125	B603
329	A125	C1095
330	A126	B603
331	A126	C1185
332	A127	B794
333	A127	C809
334	A127	C810
335	A127	C816
336	A127	C817
337	A127	C823
338	A128	B89
339	A128	C1145
340	A129	B207
341	A129	C1169
342	A130	B31
343	A130	C1297
344	A131	B105
345	A131	C103
346	A131	C111
347	A131	C378
348	A132	B25
349	A132	C1183
350	A133	B301
351	A133	C1192
352	A134	B235
353	A134	C1404
354	A134	C1415
355	A135	B708
356	A135	C1116
357	A136	B19
358	A136	C324
359	A137	B349
360	A137	C290
361	A138	B803
362	A138	C1157
363	A139	B563
364	A139	C768
365	A139	C771
366	A140	B783
367	A140	C1097
368	A140	C1213
369	A141	B262
370	A141	C1263
371	A142	B788
372	A142	C1108
373	A143	B290
374	A143	C1121
375	A144	B275
376	A144	C1154
377	A145	B612
378	A145	C1183
379	A145	C1188
380	A146	B475
381	A146	C868
382	A146	C870
383	A146	C896
384	A147	B534
385	A147	C178
386	A147	C342
387	A147	C613
388	A148	B408
389	A148	C1250
390	A149	B593
391	A149	C994
392	A149	C1001
393	A150	B286
394	A150	C1195
395	A151	B212
396	A151	C746
397	A152	B753
398	A152	C1095
399	A153	B426
400	A153	C1088
401	A154	B163
402	A154	C32
403	A155	B712
404	A155	C1206
405	A156	B227
406	A156	C1124
407	A156	C1125
408	A156	C1130
409	A157	B475
410	A157	C807
411	A157	C864
412	A158	B300
413	A158	C1177
414	A159	B773
415	A159	C879
416	A159	C897
417	A159	C985
418	A159	C1006
419	A159	B777
420	A159	C999a
421	A160	B376
422	A160	C279
423	A161	B264
424	A161	C568
425	A161	C569
