	id	name	lat	long	country	count
2	2643743	London	51.50853	-0.12574	GB	788
17	2657896	Zurich	47.36667	8.55	CH	343
4	2661604	Basel	47.55839	7.57327	CH	100
24	2655603	Birmingham	52.48142	-1.89983	GB	93
68	2643123	Manchester	53.48095	-2.23743	GB	88
14	2660646	Geneva	46.20222	6.14569	CH	78
8	2638077	Sheffield	53.38297	-1.4659	GB	66
5	2659994	Lausanne	46.516	6.63282	CH	58
64	2654993	Bradford	53.79391	-1.75206	GB	48
40	2644668	Leicester	52.6386	-1.13169	GB	41
7	2648579	Glasgow	55.86515	-4.25763	GB	38
30	2655984	Belfast	54.59682	-5.92541	GB	30
20	2644688	Leeds	53.79648	-1.54785	GB	28
10	2644210	Liverpool	53.41058	-2.97794	GB	27
3	2652221	Coventry	52.40656	-1.51217	GB	22
34	2646458	Huddersfield	53.64904	-1.78416	GB	20
9	2659811	Lucerne	47.05048	8.30635	CH	17
23	2641170	Nottingham	52.9536	-1.15047	GB	16
119	2637627	Slough	51.50949	-0.59541	GB	16
