id	source	target
1	A1922	B737a
2	A1922	C444
3	A1922	C465
4	A1922	C467
5	A1922	C470
6	A1922	C594
7	A1922	C613
8	A1922	C622
9	A1922	C626
10	A1922	C683
11	A1923	B433
12	A1923	C433
13	A1924	B137
14	A1924	C475
15	A1925	B197
16	A1925	C532
17	A1926	B598
18	A1926	C490
19	A1926	C551
20	A1926	B724
21	A1926	C775
22	A1927	B691
23	A1927	C1157
24	A1928	B17
25	A1928	C1247
26	A1929	B358
27	A1929	C811
28	A1930	B112
29	A1930	C1108
30	A1931	B618
31	A1931	C1210
32	A1932	B81
33	A1932	C1364
34	A1932	C1368
35	A1933	B782
36	A1933	C98
37	A1933	C119
38	A1934	B603
39	A1934	C883
40	A1935	B676
41	A1935	C616
42	A1936	B721
43	A1936	C1115
44	A1937	B158
45	A1937	C133
46	A1937	C135
47	A1938	B823
48	A1938	C338
49	A1939	B324
50	A1939	C1108
51	A1939	C1110
52	A1939	C1114
53	A1939	C1115
54	A1939	C1138
55	A1939	C1138a
56	A1939	C1141
57	A1939	C1151
58	A1940	B380
59	A1940	C319
60	A1941	B197
61	A1941	C520
62	A1942	B552
63	A1942	C1433
64	A1943	B616
65	A1943	C682
66	A1943	C1293
67	A1944	B31
68	A1944	C682
69	A1945	B701
70	A1945	C1416
71	A1946	B24
72	A1946	C1033
73	A1947	B754
74	A1947	C1084
75	A1948	B475
76	A1948	C862
77	A1949	B9
78	A1949	C377
79	A1950	B44
80	A1950	C568
81	A1950	C585
82	A1950	C598
83	A1951	B255
84	A1951	C1282
85	A1952	B786
86	A1952	C575
87	A1952	C581
88	A1953	B844
89	A1953	C473
90	A1954	B741
91	A1954	C627
92	A1955	B533
93	A1955	C562
94	A1956	B162
95	A1956	C1423
96	A1956	C1429
97	A1957	B796
98	A1957	C1373
99	A1958	B158
100	A1958	C133
101	A1958	C135
102	A1959	B158
103	A1959	C133
104	A1959	C135
105	A1960	B158
106	A1960	C133
107	A1960	C135
108	A1961	B345
109	A1961	C469
110	A1961	C473
111	A1962	B505
112	A1962	C761
113	A1962	C1057
114	A1962	C1231
115	A1962	B773
116	A1962	C885
117	A1963	B820
118	A1963	C1011
119	A1963	C1018
120	A1963	C1036
121	A1964	B231
122	A1964	C167
123	A1965	B327
124	A1965	C1145
125	A1966	B737
126	A1966	C1373
127	A535	B218
128	A535	C1177
129	A536	B295
130	A536	C1238
131	A537	B598
132	A537	C498
133	A538	B284
134	A538	C1431
135	A539	B572
136	A539	C1440
137	A540	B555
138	A540	C329
139	A541	B682
140	A541	C46
141	A542	B804
142	A542	C1138
143	A543	B47
144	A543	C487a
145	A543	C497
146	A543	C517
147	A543	C660
148	A543	C672
149	A543	B843
150	A543	C694
151	A544	B429
152	A544	C1376
153	A545	B443
154	A545	C283
155	A545	C291
156	A546	B335
157	A546	C933
158	A546	C1356
159	A547	B187
160	A547	C1119
161	A548	B524
162	A548	C1437
163	A548	C1438
164	A549	B419
165	A549	C239
166	A550	B10
167	A550	C639
168	A550	C640
169	A550	C651
170	A551	B168
171	A551	C704
172	A551	C708
173	A551	C710
174	A552	B272
175	A552	C586
176	A553	B669
177	A553	C100
178	A554	B733
179	A554	C209
180	A555	B24
181	A555	C1061
182	A556	B451
183	A556	C1170
184	A556	C1201
185	A557	B291
186	A557	C1283
187	A558	B739
188	A558	C1165
189	A559	B67
190	A559	C387
191	A559	C401
192	A560	B771
193	A560	C1453
194	A561	B309
195	A561	C57
196	A562	B378
197	A562	C784
198	A562	C795
199	A563	B244
200	A563	B474
201	A563	C754
202	A564	B267
203	A564	C7
204	A565	B793
205	A565	C787
206	A566	B786
207	A566	C64
208	A567	B345
209	A567	C469
210	A567	C473
211	A568	B436
212	A568	C864
213	A569	B627
214	A569	C1055
215	A570	B242
216	A570	C1084
217	A571	B50
218	A571	C1374
219	A571	C1376
220	A571	C1382
221	A572	B178
222	A572	C1317
223	A573	B184
224	A573	C1161
225	A573	C1163
226	A574	B332
227	A574	C1119
228	A574	C1125
229	A575	B157
230	A575	C1141
231	A576	B504
232	A576	C968
233	A577	B600
234	A577	C1436
235	A578	B157
236	A578	C1145
237	A579	B342
238	A579	C1186
239	A580	B192
240	A580	C1199
241	A580	C1206
242	A581	B809
243	A581	C1095
244	A582	B470
245	A582	C418
246	A1469	B451
247	A1469	C1185
248	A1470	B430
249	A1470	C933
250	A1471	B565
251	A1471	C1360
252	A1472	B840
253	A1472	C1175
254	A1473	B396
255	A1473	C771
256	A1474	B605
257	A1474	C1166
258	A1474	C1167
259	A1474	C1171
260	A1475	B186
261	A1475	C1120
262	A1476	B565
263	A1476	C1359
264	A1477	B634
265	A1477	C956
266	A1477	C976
267	A1478	B179
268	A1478	B760
269	A1478	C934
270	A1479	B562
271	A1479	C344
272	A1479	C350
273	A1480	B176
274	A1480	C966
275	A1481	B196
276	A1481	C1453
277	A1482	B653
278	A1482	C53
279	A1483	B726
280	A1483	C219
281	A1484	B841
282	A1484	C1121
283	A1485	B741
284	A1485	C1438
285	A1486	B153
286	A1486	C102
287	A1486	C106
288	A1487	B433
289	A1487	C123
290	A1487	C579
291	A1488	B300
292	A1488	C1177
293	A1489	B47
294	A1489	C485
295	A1489	C514
296	A1489	B582
297	A1489	C486
298	A1490	B732
299	A1490	C32
300	A1491	B695
301	A1491	C1146
302	A1491	C1147
303	A1492	B575
304	A1492	C729
305	A1493	B552
306	A1493	C903
307	A1494	B695
308	A1494	C1111
309	A1494	C1146
310	A1495	B196
311	A1495	C1446
312	A1496	B442
313	A1496	C1117
314	A1496	C1138
315	A1497	B173
316	A1497	C591
317	A1498	B305
318	A1498	C22
319	A1499	B381
320	A1499	C1158
321	A1499	C1165
322	A1500	B279
323	A1500	C1356
324	A1501	B55
325	A1501	C911
326	A1502	B442
327	A1502	C1119
328	A1503	B187
329	A1503	C1121
330	A1503	C1122
331	A1504	B55
332	A1504	C911
333	A1505	B403
334	A1505	C22
335	A1506	B163
336	A1506	C28
337	A1507	B247
338	A1507	C1307
339	A1507	C1312
340	A1507	C1322
341	A1507	C1323
342	A1508	B824
343	A1508	C309
344	A1509	B107
345	A1509	C1399
346	A1509	C1400
347	A1510	B23
348	A1510	C344
349	A1510	C366
350	A1510	C448
351	A1511	B217
